Name,City,Address,ZIP,Phone,Contant,Private,Public,Post Num
Paul Janina,München,Angererstraße 2,80796,0931 97 24 76,"Vascular surgeon, Cardiac surgeon",Yes,Yes,
Therese Pauline,München,Lamontstraße 19,81679,08142 92 85 15,Dentist,No,Yes,
Gerulf Isaak,München,Ruth-Drexel-Straße 3,81927,06398 18 91 47,"Family doctor, Naturopathic treatment",Yes,Yes,
Jörg Laurenz,München,Schlößlanger 39,80939,04861 79 92 90,Gynecologist,No,Yes,
Flora Hermenegild,München,Hoyerweg 15,81929,0831 44 91 46,"Chiropractic , Family doctor",No,Yes,
Norbert Ruprecht,München,Witzlebenstraße 11,80995 ,030 73 05 56,Gynecologist,Yes,Yes,
Falk Marlies,München,Gubestraße 25,80992 ,0621 26 39 66,General Practitioner,No,Yes,
Eike Diederich,München,Welzenbachstraße 5,80992 ,07629 26 73 50,General Practitioner,Yes,No,
Louisa Klemens,München,Denisstraße 3,80335,06372 43 97 24,General Practitioner,No,Yes,
Ida Traugott,München,Valpichlerstraße 2,80686 ,0361 92 62 72,General Practitioner,Yes,No,
Werther Rosa,Frankfurt,Lenaustraße 73,60318,09371 63 90 87,General Practitioner,No,Yes,
Jennifer Miriam,Frankfurt,Burgstraße 35,60316,036922 83 67,General Practitioner,No,Yes,
Saskia Rebekka,Berlin,Oranienstraße 7,10997,04836 11 16 07,General Practitioner,Yes,Yes,
Leonard Carina,Berlin,Krausnickstraße 8,10115,07761 39 14 95,General Practitioner,No,Yes,
